area_title,state_code,aii,total_employment,gini,entropy,delta_creative_class,delta_total_emp
"Longview, TX",TX,0.08273190917981975,78260,0.4603,2.345900479553754,4180,-4160
"Madera, CA",CA,0.08272304476238812,36050,0.4535,,2390,12010
"Portsmouth, NH-ME",NH,0.08270178780832389,76590,,,13420,34920
"Rocky Mount, NC",NC,0.08264091745381523,43600,0.4584,2.301109537169566,1960,-2340
"Charleston-North Charleston, SC",SC,0.0826120177167869,315870,0.4817,2.299210617585762,27540,64400
"Santa Maria-Santa Barbara, CA",CA,0.08260087469316053,169890,0.4886,2.321621116055143,,
"Springfield, OH",OH,0.08254852307326709,36130,0.4225,2.2820111295670458,1180,-1440
"Huntington-Ashland, WV-KY-OH",WV,0.0825326016044327,109870,0.481,2.200264622211894,7730,19290
"New Haven, CT",CT,0.08252036688891919,238110,,2.085034726759666,13870,15800
"Mobile, AL",AL,0.0824752526164429,150250,0.4705,2.2836423222894022,3630,2890
"Minneapolis-St. Paul-Bloomington, MN-WI",MN,0.08245470122776596,1605610,0.4445,2.275380157747828,99200,134400
"Nashville-Davidson--Murfreesboro--Franklin, TN",TN,0.08245365485922347,919620,0.4646,2.307774385416686,117830,291100
"Ames, IA",IA,0.0824386555647795,35470,0.4624,2.1477785923680206,5800,5790
"Terre Haute, IN",IN,0.08238093107668037,52030,0.453,2.249006262682816,870,-2590
"Tyler, TX",TX,0.08235343115851583,86680,0.4571,2.2981392265172786,7100,14200
"Lake Charles, LA",LA,0.08233952183416078,76070,0.4717,2.28057673150547,4630,6790
"Syracuse, NY",NY,0.08229003955130804,250410,0.459,2.2014444425135067,5620,-12760
"Kingsport-Bristol-Bristol, TN-VA",TN,0.08221621233268496,94960,,,3130,-3050
"Montgomery, AL",AL,0.08214270894204172,136840,0.4745,2.323282853433486,2650,-540
"Lynchburg, VA",VA,0.0821174035538527,79200,0.4426,2.19580896140211,3590,-890
"Buffalo-Cheektowaga-Niagara Falls, NY",NY,0.08206573538496434,451990,,,13830,-16640
"Charlottesville, VA",VA,0.08206314415552864,88740,0.4922,2.1409332108991426,9510,12820
"Columbia, SC",SC,0.08204468797892216,334790,0.4654,2.3189555970484066,12440,35700
"Yuba City, CA",CA,0.0820247236947015,37540,0.4524,2.3452368813059925,4560,13080
"Lancaster, PA",PA,0.082015739159582,213400,0.4277,2.313046209979112,13630,21600
"Midland, TX",TX,0.08200248313149316,91600,0.4707,2.2550841289491808,9320,28010
"Albany, GA",GA,0.08197743418916442,47380,0.4666,2.288674956032715,1460,-740
"Boston-Cambridge-Nashua, MA-NH",MA,0.08191546140087237,2308050,,,212330,220840
"Merced, CA",CA,0.08189954727573585,58800,0.4581,2.349700972746935,5240,15600
"Tuscaloosa, AL",AL,0.08187748950322063,81250,0.4778,2.1394560091833843,4810,10020
"Jonesboro, AR",AR,0.08186552384426612,47500,0.4929,2.167853728080904,4760,9540
"Harrisonburg, VA",VA,0.08185206935908693,51120,0.4492,2.278022932507208,8160,5770
"Albany-Schenectady-Troy, NY",NY,0.08184828412391376,374100,0.4404,2.2702583033273993,11400,2220
"Columbia, MO",MO,0.08183579509638007,72090,0.4705,2.182325430306904,8520,9270
"Cape Girardeau, MO-IL",MO,0.08183061029087572,33550,0.4454,2.2700091283464543,1660,1330
"Gettysburg, PA",PA,0.08182974834596898,24900,0.3952,2.359650200418426,,
"Richmond, VA",VA,0.0817850339067017,553170,0.4606,2.2958376413792103,37400,31680
"Phoenix-Mesa-Scottsdale, AZ",AZ,0.08174347054750718,1961990,,,214860,490250
"Oxnard-Thousand Oaks-Ventura, CA",CA,0.08172461255786835,264990,0.4497,2.37203523832826,14410,24450
"Worcester, MA-CT",MA,0.08167466262540422,239340,0.453,,16710,40000
"Duluth, MN-WI",MN,0.08160377386022444,101850,0.4414,2.2651755061351717,3500,-990
"Corvallis, OR",OR,0.08157574641803927,25740,0.475,2.081392403923817,3740,3600
"Idaho Falls, ID",ID,0.08155434835366139,61040,0.4268,2.3832185674811646,12830,27020
"Knoxville, TN",TN,0.08143967587286112,356940,0.4655,2.3164928015812647,27910,71310
"Sacramento--Roseville--Arden-Arcade, CA",CA,0.08137487517368835,882060,,,84170,211260
"Lakeland-Winter Haven, FL",FL,0.08136222393609227,223810,0.4465,2.345427672750813,21020,61270
"Vallejo-Fairfield, CA",CA,0.08134624613151363,113500,,,7310,17030
"Shreveport-Bossier City, LA",LA,0.08130271332616883,145250,0.5021,2.3414776586326798,4070,-8430
"Hagerstown-Martinsburg, MD-WV",MD,0.08129780753567631,83920,0.4248,2.3665992964937916,2110,1550
"Binghamton, NY",NY,0.0812541522513773,75990,0.4701,2.1884132735451773,-530,-10940
"Utica-Rome, NY",NY,0.08125400318684763,92380,0.4435,2.2854400012233533,60,-8170
"Florence-Muscle Shoals, AL",AL,0.081190359896276,43780,0.4573,2.2262071287913354,1860,1490
"Orlando-Kissimmee-Sanford, FL",FL,0.0810791608851032,1176900,0.4649,2.272402202400824,124260,285650
"Odessa, TX",TX,0.08107767506222296,62020,0.4579,2.3411230942654253,4240,4890
"Des Moines-West Des Moines, IA",IA,0.08101645452495136,327140,0.4322,2.339843998573089,33470,47160
"Miami-Fort Lauderdale-West Palm Beach, FL",FL,0.081010699031704,2384510,,2.3140915433112657,236450,400500
"Fairbanks, AK",AK,0.08097210383539583,25820,0.4242,,450,-1520
"Fargo, ND-MN",ND,0.08094260592373954,119660,0.4607,2.302422087210733,8860,13960
"Baton Rouge, LA",LA,0.08079924726654997,337420,0.4793,2.3027547981819176,25640,23460
"Lafayette, LA",LA,0.0807933319627595,163900,0.4914,2.3358039154039263,18660,40310
"El Centro, CA",CA,0.08078910497566283,46980,0.4589,2.2922852312156934,3390,10560
"Pine Bluff, AR",AR,0.08078904320000806,20000,0.4677,,-1060,-5790
"Youngstown-Warren-Boardman, OH-PA",OH,0.08077690090502813,174950,0.4582,,1690,-18780
"Greensboro-High Point, NC",NC,0.080771058972222,312260,0.4763,2.2738873466812484,12120,9370
"Burlington-South Burlington, VT",VT,0.08075953753439388,96780,0.4398,2.2202916945301183,5750,2520
"Canton-Massillon, OH",OH,0.08074840913742425,140720,0.4448,2.241243602176076,2740,-1280
"Bowling Green, KY",KY,0.08065844643650298,59530,0.4764,2.215385616081987,3610,17140
"Vineland-Bridgeton, NJ",NJ,0.08062740794212152,48600,0.4985,,790,2040
"New York-Newark-Jersey City, NY-NJ-PA",NY,0.08060396848068775,7842880,0.5136,,687320,880270
"Gulfport-Biloxi-Pascagoula, MS",MS,0.08057107182773648,132590,,,15580,46440
