"Label (Grouping)","Total:!!Agriculture, forestry, fishing and hunting, and mining","Total:!!Construction","Total:!!Manufacturing","Total:!!Wholesale trade","Total:!!Retail trade","Total:!!Transportation and warehousing, and utilities","Total:!!Information","Total:!!Finance and insurance, and real estate and rental and leasing","Total:!!Professional, scientific, and management, and administrative and waste management services","Total:!!Educational services, and health care and social assistance","Total:!!Arts, entertainment, and recreation, and accommodation and food services","Total:!!Other services, except public administration","Total:!!Public administration"
"    Estimate","6,907","64,993","158,509","21,006","132,608","69,067","14,057","85,456","145,235","266,775","96,642","52,446","39,323"
"Clarksville, TN-KY Metro Area","","","","","","","","","","","","",""
"    Estimate","1,097","9,929","16,406","1,210","14,000","9,463","3,021","5,095","12,041","33,563","13,018","5,638","9,161"
"Cleveland, OH Metro Area","","","","","","","","","","","","",""
"    Estimate","4,546","63,187","145,624","25,028","113,313","56,603","14,655","78,235","124,359","273,952","90,095","45,341","42,566"
"Cleveland, TN Metro Area","","","","","","","","","","","","",""
"    Estimate","864","3,082","11,508","1,725","6,459","3,772","1,161","1,979","6,935","11,084","4,725","4,574","1,893"
"Coeur d'Alene, ID Metro Area","","","","","","","","","","","","",""
"    Estimate","1,328","9,737","5,850","1,442","11,334","5,657","1,102","6,911","9,100","18,081","8,076","3,478","3,494"
"College Station-Bryan, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","3,070","10,046","7,994","1,609","15,102","7,932","2,280","7,841","14,125","41,586","14,311","5,726","5,183"
"Colorado Springs, CO Metro Area","","","","","","","","","","","","",""
"    Estimate","2,996","26,243","21,769","3,426","40,352","16,471","9,725","27,401","56,669","88,739","33,422","21,363","24,285"
"Columbia, MO Metro Area","","","","","","","","","","","","",""
"    Estimate","2,120","7,215","6,925","1,351","12,166","3,909","1,604","8,701","9,614","37,897","10,823","5,563","5,754"
"Columbia, SC Metro Area","","","","","","","","","","","","",""
"    Estimate","4,428","26,928","36,653","8,773","44,688","23,598","6,225","30,099","45,792","100,246","29,802","23,716","28,655"
"Columbus, GA-AL Metro Area","","","","","","","","","","","","",""
"    Estimate","978","7,824","13,142","2,414","12,018","7,814","1,893","14,816","12,525","29,513","13,663","4,437","9,711"
"Columbus, IN Metro Area","","","","","","","","","","","","",""
"    Estimate","230","2,291","11,915","703","4,040","2,382","0","1,681","4,292","8,622","3,474","2,147","1,470"
"Columbus, OH Metro Area","","","","","","","","","","","","",""
"    Estimate","6,407","63,993","100,832","22,494","127,647","81,361","19,958","105,674","137,690","277,483","90,050","46,974","51,501"
"Corpus Christi, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","6,829","19,504","17,009","3,346","23,330","11,836","1,847","11,669","18,182","52,734","21,329","10,927","11,208"
"Corvallis, OR Metro Area","","","","","","","","","","","","",""
"    Estimate","1,098","1,502","4,090","506","5,279","1,982","698","1,620","5,727","18,316","4,420","1,589","2,519"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","","","","","","","","","","","","",""
