"Label (Grouping)","Total:!!Agriculture, forestry, fishing and hunting, and mining","Total:!!Construction","Total:!!Manufacturing","Total:!!Wholesale trade","Total:!!Retail trade","Total:!!Transportation and warehousing, and utilities","Total:!!Information","Total:!!Finance and insurance, and real estate and rental and leasing","Total:!!Professional, scientific, and management, and administrative and waste management services","Total:!!Educational services, and health care and social assistance","Total:!!Arts, entertainment, and recreation, and accommodation and food services","Total:!!Other services, except public administration","Total:!!Public administration"
"    Estimate","3,222","6,739","3,520","1,282","9,759","2,944","1,054","4,114","7,206","22,249","6,083","3,794","5,589"
"Reading, PA Metro Area","","","","","","","","","","","","",""
"    Estimate","4,535","14,611","34,808","5,648","24,462","14,222","1,727","8,870","20,561","54,185","14,303","10,117","5,086"
"Redding, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,939","5,972","4,278","2,252","11,686","4,652","1,112","5,209","5,816","18,144","8,595","3,728","4,135"
"Reno, NV Metro Area","","","","","","","","","","","","",""
"    Estimate","2,884","22,618","30,837","7,450","31,015","20,273","3,312","15,340","36,540","53,338","38,429","11,975","12,429"
"Richmond, VA Metro Area","","","","","","","","","","","","",""
"    Estimate","2,232","41,164","49,535","12,775","75,658","44,083","9,507","64,144","95,321","159,851","49,910","37,202","51,945"
"Riverside-San Bernardino-Ontario, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","25,225","181,806","160,125","54,641","251,670","216,011","28,149","93,717","233,466","482,876","213,621","113,498","106,038"
"Roanoke, VA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,698","9,622","14,620","4,652","15,982","8,461","1,405","10,160","16,126","40,467","11,287","5,583","7,330"
"Rochester, MN Metro Area","","","","","","","","","","","","",""
"    Estimate","2,665","7,466","11,906","2,352","10,159","2,606","1,034","3,792","7,236","54,828","7,501","4,880","4,641"
"Rochester, NY Metro Area","","","","","","","","","","","","",""
"    Estimate","6,250","26,562","60,462","10,233","55,748","21,583","8,916","27,336","61,116","159,123","40,836","21,721","19,958"
"Rockford, IL Metro Area","","","","","","","","","","","","",""
"    Estimate","1,547","9,240","32,545","3,133","20,472","12,043","1,425","6,252","12,832","33,469","13,891","7,881","3,643"
"Rocky Mount, NC Metro Area","","","","","","","","","","","","",""
"    Estimate","1,852","5,820","12,367","2,131","7,840","2,860","542","2,507","4,368","13,511","5,623","2,313","4,359"
"Rome, GA Metro Area","","","","","","","","","","","","",""
"    Estimate","424","2,467","7,755","841","4,810","2,898","461","1,442","5,340","12,339","4,230","1,925","1,354"
"Sacramento-Roseville-Folsom, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","12,944","82,013","59,596","21,412","117,258","76,064","16,678","68,952","149,253","286,104","102,422","52,133","116,527"
"Saginaw, MI Metro Area","","","","","","","","","","","","",""
"    Estimate","1,359","5,853","13,121","1,412","10,480","5,507","575","4,048","6,659","21,130","7,408","2,500","4,194"
"St. Cloud, MN Metro Area","","","","","","","","","","","","",""
"    Estimate","3,119","7,999","14,715","3,079","10,407","6,786","679","5,459","8,291","28,958","7,783","5,464","2,697"
"St. George, UT Metro Area","","","","","","","","","","","","",""
"    Estimate","361","8,237","7,756","2,372","10,200","5,156","1,202","4,554","12,463","21,538","9,650","4,393","3,432"
"St. Joseph, MO-KS Metro Area","","","","","","","","","","","","",""
"    Estimate","1,151","3,258","12,295","755","6,930","3,075","456","2,722","3,370","11,808","3,849","2,899","2,405"
"St. Louis, MO-IL Metro Area","","","","","","","","","","","","",""
"    Estimate","14,256","87,509","149,622","29,765","153,032","79,472","26,386","116,473","182,476","359,822","120,131","71,950","51,979"
"Salem, OR Metro Area","","","","","","","","","","","","",""
"    Estimate","12,309","17,235","19,071","2,960","23,926","9,369","2,638","8,412","20,249","45,889","16,950","8,870","19,352"
"Salinas, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","26,744","11,948","9,131","3,680","18,388","7,588","1,583","6,995","17,895","42,892","20,875","8,772","10,335"
"Salisbury, MD Metro Area","","","","","","","","","","","","",""
"    Estimate","1,163","5,077","5,601","1,183","7,096","3,206","901","3,248","5,767","15,089","5,900","2,633","4,041"
"Salt Lake City-Murray, UT Metro Area","","","","","","","","","","","","",""
"    Estimate","5,730","51,837","70,439","13,884","79,075","40,669","11,451","54,240","95,709","155,720","59,749","29,729","23,807"
"San Angelo, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","1,981","5,306","4,083","1,018","5,457","2,267","978","2,751","4,634","14,849","4,781","3,260","4,660"
"San Antonio-New Braunfels, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","13,636","109,719","87,176","23,046","151,664","72,246","21,181","102,848","160,161","306,339","126,542","58,977","61,599"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","14,928","100,967","162,511","26,588","152,668","74,085","30,099","94,519","265,356","376,792","163,108","75,845","81,979"
"Sandusky, OH Metro Area","","","","","","","","","","","","",""
"    Estimate","817","2,689","11,513","604","5,898","2,330","305","2,042","4,108","13,655","5,980","2,924","2,476"
"San Francisco-Oakland-Fremont, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","11,909","137,410","194,357","36,790","207,103","126,098","96,502","155,863","538,194","514,446","192,759","106,696","89,703"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","6,782","51,626","173,562","12,210","79,902","36,790","65,368","41,423","234,641","202,502","75,268","39,094","27,480"
"San Juan-Bayamón-Caguas, PR Metro Area","","","","","","","","","","","","",""
"    Estimate","7,631","53,037","59,339","22,104","93,738","34,684","13,776","59,477","99,647","161,382","81,437","57,060","56,943"
"San Luis Obispo-Paso Robles, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","3,277","8,898","10,221","1,529","15,962","4,282","2,369","4,905","16,335","30,717","19,803","7,969","8,130"
"Santa Cruz-Watsonville, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","6,815","8,121","8,332","3,271","11,616","4,101","2,701","5,356","18,844","34,439","14,160","6,597","5,837"
"Santa Fe, NM Metro Area","","","","","","","","","","","","",""
"    Estimate","963","6,224","1,895","643","6,732","2,199","2,075","3,707","12,230","16,130","11,059","4,114","5,610"
"Santa Maria-Santa Barbara, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","20,944","13,989","13,627","2,719","15,913","8,242","4,552","8,887","25,802","48,010","24,906","7,533","8,605"
"Santa Rosa-Petaluma, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","7,235","22,011","24,057","6,667","27,465","9,752","4,973","11,422","35,373","55,692","23,523","12,638","10,988"
"Savannah, GA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,154","13,151","22,333","3,394","24,951","20,190","2,798","11,141","24,881","41,162","22,669","8,966","10,451"
"Scranton--Wilkes-Barre, PA Metro Area","","","","","","","","","","","","",""
"    Estimate","2,749","15,640","28,004","7,211","33,526","23,537","3,515","14,381","22,991","63,965","20,752","13,799","12,760"
"Seattle-Tacoma-Bellevue, WA Metro Area","","","","","","","","","","","","",""
"    Estimate","11,589","134,719","191,711","43,590","235,363","125,571","78,416","126,227","402,430","453,412","180,641","96,276","83,161"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","692","6,135","5,141","933","8,327","2,984","1,896","6,609","8,325","13,679","7,613","3,733","2,181"
"Sebring, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","1,507","4,557","1,501","1,061","5,320","1,444","423","2,149","3,391","7,755","3,825","1,772","2,102"
"Sheboygan, WI Metro Area","","","","","","","","","","","","",""
"    Estimate","994","3,223","19,497","1,789","5,111","2,756","299","3,559","5,317","11,267","4,795","1,657","1,376"
"Sherman-Denison, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","790","7,477","8,683","1,685","6,510","3,256","241","3,880","7,475","13,747","6,928","4,350","2,537"
"Shreveport-Bossier City, LA Metro Area","","","","","","","","","","","","",""
"    Estimate","5,452","12,730","9,466","3,426","17,899","11,892","3,711","8,919","13,471","43,217","14,335","11,797","9,212"
"Sierra Vista-Douglas, AZ Metro Area","","","","","","","","","","","","",""
"    Estimate","1,389","2,806","1,179","190","5,081","2,067","360","1,880","4,293","10,752","3,785","2,882","4,832"
"Sioux City, IA-NE-SD Metro Area","","","","","","","","","","","","",""
"    Estimate","2,086","5,635","13,577","2,576","6,980","4,018","1,433","3,757","4,637","15,125","6,556","3,018","1,436"
"Sioux Falls, SD-MN Metro Area","","","","","","","","","","","","",""
"    Estimate","5,231","12,231","18,218","4,356","17,550","6,589","2,970","16,227","15,578","45,923","11,756","8,081","5,830"
"Slidell-Mandeville-Covington, LA Metro Area","","","","","","","","","","","","",""
"    Estimate","2,576","9,773","7,770","3,462","15,335","8,827","1,459","8,555","15,394","37,465","8,034","7,154","5,485"
"South Bend-Mishawaka, IN-MI Metro Area","","","","","","","","","","","","",""
"    Estimate","1,556","8,991","29,530","3,160","14,685","8,696","1,824","7,643","13,271","44,298","10,810","7,350","3,801"
"Spartanburg, SC Metro Area","","","","","","","","","","","","",""
"    Estimate","608","13,521","39,675","3,784","18,749","9,016","2,790","6,939","16,191","37,517","16,239","9,835","4,153"
"Spokane-Spokane Valley, WA Metro Area","","","","","","","","","","","","",""
"    Estimate","3,623","17,676","24,991","6,377","39,207","17,727","3,605","18,511","29,657","70,279","22,678","14,487","13,588"
"Springfield, IL Metro Area","","","","","","","","","","","","",""
"    Estimate","1,382","4,860","4,674","1,357","9,740","4,646","1,054","5,988","11,271","24,766","7,450","5,868","14,709"
"Springfield, MA Metro Area","","","","","","","","","","","","",""
"    Estimate","782","10,956","25,565","3,781","26,257","14,158","2,222","13,617","18,758","66,217","14,637","10,797","10,717"
"Springfield, MO Metro Area","","","","","","","","","","","","",""
"    Estimate","2,731","14,989","23,969","6,026","32,361","16,240","3,616","14,677","25,231","62,891","19,570","11,563","8,210"
"Springfield, OH Metro Area","","","","","","","","","","","","",""
"    Estimate","890","4,955","10,567","2,011","6,404","2,869","375","2,737","5,779","12,317","5,341","1,893","2,542"
"State College, PA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,210","3,477","4,110","1,056","7,107","3,340","1,115","2,823","5,899","30,757","9,086","2,106","2,060"
"Staunton-Stuarts Draft, VA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,583","2,718","8,155","1,220","7,768","4,949","1,049","2,234","7,318","13,648","3,486","3,282","3,306"
"Stockton-Lodi, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","13,756","27,031","43,021","7,983","41,439","34,573","5,789","15,388","41,947","73,602","27,793","16,072","20,759"
"Sumter, SC Metro Area","","","","","","","","","","","","",""
"    Estimate","236","3,284","4,947","440","5,728","1,260","80","1,348","3,207","9,799","4,074","2,359","3,266"
"Syracuse, NY Metro Area","","","","","","","","","","","","",""
"    Estimate","3,489","17,750","30,040","6,025","33,388","19,442","5,328","18,260","33,619","101,932","25,340","12,608","12,569"
"Tallahassee, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","1,995","9,457","5,746","3,629","21,127","5,604","2,611","10,650","23,880","47,244","21,295","10,969","29,523"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","13,082","117,492","96,617","35,703","188,551","87,594","25,229","164,391","260,681","340,820","150,256","87,766","63,898"
"Terre Haute, IN Metro Area","","","","","","","","","","","","",""
"    Estimate","1,516","4,908","12,031","1,633","8,366","3,897","955","2,990","3,692","19,424","6,680","2,971","4,258"
"Texarkana, TX-AR Metro Area","","","","","","","","","","","","",""
"    Estimate","597","4,924","5,966","1,829","6,559","4,122","400","2,627","4,489","15,673","5,492","3,074","4,975"
"Toledo, OH Metro Area","","","","","","","","","","","","",""
"    Estimate","1,531","16,921","43,753","6,107","33,648","19,351","3,585","12,556","32,568","74,441","24,932","13,263","8,824"
"Topeka, KS Metro Area","","","","","","","","","","","","",""
"    Estimate","2,052","7,178","11,686","1,725","11,945","6,900","2,155","7,710","8,816","29,610","7,328","4,345","9,441"
"Traverse City, MI Metro Area","","","","","","","","","","","","",""
"    Estimate","1,214","5,861","8,360","1,842","6,667","2,777","1,214","4,596","10,508","18,933","8,802","3,524","2,393"
"Trenton-Princeton, NJ Metro Area","","","","","","","","","","","","",""
"    Estimate","1,655","12,602","18,001","5,330","17,501","10,776","5,729","15,791","27,482","44,065","12,050","8,851","9,324"
"Tucson, AZ Metro Area","","","","","","","","","","","","",""
"    Estimate","5,130","32,246","38,158","5,604","56,307","27,784","7,015","23,925","62,693","127,392","52,764","24,412","28,372"
"Tulsa, OK Metro Area","","","","","","","","","","","","",""
"    Estimate","8,443","34,794","54,945","11,097","58,772","35,434","7,956","28,716","53,410","111,524","41,551","26,749","20,033"
"Tuscaloosa, AL Metro Area","","","","","","","","","","","","",""
"    Estimate","1,292","7,015","21,461","1,922","11,087","5,854","619","6,042","9,049","38,667","9,902","3,522","7,472"
"Twin Falls, ID Metro Area","","","","","","","","","","","","",""
"    Estimate","4,620","4,277","6,018","1,140","7,148","4,262","902","2,630","4,362","12,542","5,136","2,413","3,267"
"Tyler, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","3,649","5,959","8,776","2,178","13,698","8,295","1,455","7,999","10,473","29,258","10,421","5,353","3,633"
"Urban Honolulu, HI Metro Area","","","","","","","","","","","","",""
"    Estimate","2,670","31,815","14,001","10,783","50,753","32,445","7,025","29,303","50,444","110,497","58,443","22,976","40,156"
"Utica-Rome, NY Metro Area","","","","","","","","","","","","",""
"    Estimate","1,157","7,089","13,222","1,623","16,254","6,896","1,926","10,193","12,490","32,722","10,769","6,845","10,269"
"Valdosta, GA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,286","4,371","7,116","1,978","8,632","3,376","217","3,869","5,377","15,951","6,243","3,100","3,329"
"Vallejo, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,679","22,164","19,649","3,572","24,700","13,096","3,483","9,842","20,902","46,595","19,900","10,595","14,240"
"Victoria, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","2,093","3,436","6,629","707","4,073","2,774","230","2,650","3,229","10,566","3,445","3,076","1,219"
"Vineland, NJ Metro Area","","","","","","","","","","","","",""
"    Estimate","1,449","4,984","9,110","2,055","8,036","4,429","578","2,515","6,733","16,969","4,697","2,029","4,010"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","","","","","","","","","","","","",""
"    Estimate","3,323","54,836","74,963","12,378","88,531","48,894","11,935","53,007","103,867","193,070","82,563","42,152","65,324"
"Visalia, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","27,540","11,864","14,928","4,058","23,848","14,578","2,086","6,085","12,659","48,713","12,994","9,234","9,829"
"Waco, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","2,161","13,411","16,858","3,335","16,476","7,023","1,724","7,699","12,403","34,699","13,225","6,932","6,938"
"Walla Walla, WA Metro Area","","","","","","","","","","","","",""
"    Estimate","2,501","2,317","2,068","104","2,420","1,123","718","918","1,246","8,429","3,043","508","2,260"
"Warner Robins, GA Metro Area","","","","","","","","","","","","",""
"    Estimate","962","6,192","7,111","1,692","9,983","6,470","713","4,798","11,859","19,155","7,592","3,731","11,925"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","","","","","","","","","","","","",""
"    Estimate","9,167","220,004","111,954","32,421","246,676","148,480","78,181","214,358","765,354","663,901","268,675","210,583","433,070"
"Waterbury-Shelton, CT Metro Area","","","","","","","","","","","","",""
"    Estimate","1,296","13,320","29,413","5,069","23,648","12,137","3,774","14,019","25,157","67,195","15,952","11,825","9,863"
"Waterloo-Cedar Falls, IA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,804","5,137","13,395","1,669","11,466","3,911","1,130","4,744","6,099","22,169","7,793","3,623","2,459"
"Watertown-Fort Drum, NY Metro Area","","","","","","","","","","","","",""
"    Estimate","918","3,228","4,274","829","5,970","2,085","789","2,369","3,702","13,045","4,602","1,477","3,259"
"Wausau, WI Metro Area","","","","","","","","","","","","",""
"    Estimate","1,923","4,767","14,049","1,627","7,213","3,535","468","5,195","5,303","16,221","5,656","3,750","1,696"
"Weirton-Steubenville, WV-OH Metro Area","","","","","","","","","","","","",""
"    Estimate","1,448","3,359","5,348","960","6,398","3,517","592","2,555","5,453","11,405","4,407","3,084","2,043"
"Wenatchee-East Wenatchee, WA Metro Area","","","","","","","","","","","","",""
"    Estimate","6,361","5,346","2,880","1,216","8,164","2,025","1,087","1,252","5,143","12,692","6,160","2,566","2,811"
"Wheeling, WV-OH Metro Area","","","","","","","","","","","","",""
"    Estimate","2,738","5,128","5,791","1,129","8,646","3,349","737","2,608","4,276","15,820","6,414","3,035","2,878"
"Wichita, KS Metro Area","","","","","","","","","","","","",""
"    Estimate","4,900","21,407","52,051","6,496","34,369","18,412","4,778","19,711","30,664","76,708","25,679","13,479","11,848"
"Wichita Falls, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","2,239","4,575","6,252","1,601","9,612","4,897","717","2,720","5,265","16,759","6,435","3,006","4,278"
"Wildwood-The Villages, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","573","4,336","1,557","1,156","4,054","1,895","52","2,672","5,023","6,625","4,362","823","1,061"
"Williamsport, PA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,268","4,184","5,932","783","7,042","3,583","414","3,033","4,073","15,808","3,758","1,780","2,237"
"Wilmington, NC Metro Area","","","","","","","","","","","","",""
"    Estimate","1,487","21,714","16,646","4,928","23,076","10,977","5,467","14,918","34,015","48,661","25,276","12,645","6,153"
"Winchester, VA-WV Metro Area","","","","","","","","","","","","",""
"    Estimate","1,139","5,125","7,220","1,137","6,998","3,681","992","4,025","10,018","17,314","5,670","3,711","5,275"
"Winston-Salem, NC Metro Area","","","","","","","","","","","","",""
"    Estimate","2,440","22,529","47,586","5,828","38,767","21,809","4,239","21,516","28,441","85,714","22,928","20,713","9,515"
"Worcester, MA Metro Area","","","","","","","","","","","","",""
"    Estimate","3,361","36,464","50,375","8,201","49,800","19,207","4,511","26,033","58,725","123,331","32,807","21,419","17,922"
"Yakima, WA Metro Area","","","","","","","","","","","","",""
"    Estimate","17,455","8,377","10,585","2,860","14,339","7,448","981","3,171","7,051","24,529","8,784","3,392","5,455"
"York-Hanover, PA Metro Area","","","","","","","","","","","","",""
"    Estimate","3,529","15,692","39,354","4,853","27,397","17,543","4,103","11,752","23,045","51,006","15,834","14,487","11,976"
"Youngstown-Warren, OH Metro Area","","","","","","","","","","","","",""
"    Estimate","1,697","11,211","26,735","3,958","24,695","12,194","3,692","8,570","14,576","48,273","19,831","7,839","6,557"
"Yuba City, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","3,705","4,429","6,124","2,215","9,304","5,612","423","3,130","7,683","18,089","5,150","5,173","4,904"
"Yuma, AZ Metro Area","","","","","","","","","","","","",""
"    Estimate","6,477","7,764","3,671","983","7,033","5,086","919","3,223","7,175","14,890","7,203","2,835","7,536"
