State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
Kansas,12/1/2022,2273,1506,66.3,-0.9,1462,44,-10.8,2.9,90,32.4,-46,0.49,38,2.7,56,4.0
Kentucky,12/1/2022,3549,2040,57.5,-1.1,1960,80,-6.2,3.9,155,59.8,-75,0.52,65,3.3,94,4.8
Louisiana,12/1/2022,3555,2084,58.6,0.3,2010,74,-25.1,3.5,180,97.8,-106,0.41,70,3.6,92,4.7
Maine,12/1/2022,1158,672,58.0,-3.8,651,21,-8.2,3.1,43,38.7,-22,0.48,16,2.5,30,4.6
Maryland,12/1/2022,4892,3162,64.6,-4.6,3066,96,-18.2,3.0,198,20.7,-102,0.48,73,2.7,113,4.1
Massachusetts,12/1/2022,5758,3726,64.7,-1.4,3590,137,28.4,3.7,239,44.8,-102,0.57,74,2.0,123,3.3
Michigan,12/1/2022,8091,4833,59.7,-1.6,4624,209,11.6,4.3,286,33.0,-77,0.73,108,2.5,166,3.8
Minnesota,12/1/2022,4530,3086,68.1,-1.8,2995,91,-17.4,2.9,185,35.0,-94,0.49,74,2.5,107,3.6
Mississippi,12/1/2022,2282,1242,54.4,-1.5,1192,50,-31.9,4.0,86,65.4,-36,0.58,39,3.4,53,4.6
Missouri,12/1/2022,4896,3068,62.7,-1.3,2986,82,-21.3,2.7,197,60.2,-115,0.42,77,2.6,108,3.7
Montana,12/1/2022,909,570,62.6,-1.0,554,15,-21.9,2.6,41,46.4,-26,0.37,18,3.6,28,5.5
Nebraska,12/1/2022,1524,1060,69.5,-0.6,1032,28,-11.3,2.7,59,18.0,-31,0.48,26,2.5,38,3.6
Nevada,12/1/2022,2552,1568,61.5,-2.8,1482,87,26.3,5.5,104,42.5,-17,0.83,46,3.1,73,4.9
New Hampshire,12/1/2022,1165,769,66.0,-2.4,747,22,9.3,2.9,47,38.2,-25,0.47,17,2.5,27,3.9
New Jersey,12/1/2022,7432,4765,64.1,-0.2,4607,157,-18.3,3.3,203,3.0,-46,0.77,81,1.9,135,3.2
New Mexico,12/1/2022,1681,945,56.2,-1.8,912,33,-35.1,3.5,68,41.7,-35,0.48,22,2.6,35,4.1
New York,12/1/2022,15936,9626,60.4,-0.5,9231,395,-2.8,4.1,442,3.3,-47,0.89,155,1.6,282,2.9
North Carolina,12/1/2022,8536,5160,60.5,-0.8,4962,198,3.9,3.8,363,55.8,-165,0.55,137,2.8,223,4.6
North Dakota,12/1/2022,600,415,69.1,0.0,406,9,-2.2,2.1,28,16.7,-19,0.32,11,2.6,19,4.4
Ohio,12/1/2022,9351,5720,61.2,-2.4,5484,236,-12.7,4.1,345,34.8,-109,0.68,143,2.6,211,3.8
Oklahoma,12/1/2022,3111,1890,60.7,0.1,1830,60,2.9,3.2,132,61.0,-72,0.45,55,3.2,82,4.8
Oregon,12/1/2022,3469,2184,62.9,1.9,2079,104,39.2,4.8,140,29.6,-36,0.74,57,2.9,78,3.9
Pennsylvania,12/1/2022,10496,6481,61.7,-1.2,6200,281,-8.8,4.3,428,51.8,-147,0.66,115,1.9,192,3.2
Rhode Island,12/1/2022,900,566,62.9,-1.3,548,18,-13.6,3.2,33,37.5,-15,0.55,11,2.2,19,3.8
South Carolina,12/1/2022,4247,2372,55.8,-1.7,2294,77,13.1,3.3,182,67.0,-105,0.42,71,3.2,109,4.9
South Dakota,12/1/2022,703,475,67.6,-1.3,465,10,-11.7,2.2,30,30.4,-20,0.34,13,2.8,21,4.6
Tennessee,12/1/2022,5636,3322,58.9,-2.4,3207,116,-0.3,3.5,259,87.7,-143,0.45,122,3.7,162,5.0
Texas,12/1/2022,23191,14706,63.4,-0.4,14146,561,12.2,3.8,886,68.4,-325,0.63,408,3.0,609,4.5
Utah,12/1/2022,2561,1754,68.5,0.3,1711,43,5.2,2.4,111,50.0,-68,0.38,52,3.1,66,3.9
Vermont,12/1/2022,543,344,63.4,-2.5,334,10,33.4,3.0,20,17.6,-10,0.52,8,2.7,12,4.0
Virginia,12/1/2022,6863,4470,65.1,-0.5,4331,140,7.1,3.1,320,46.1,-180,0.44,108,2.6,174,4.2
Washington,12/1/2022,6254,4015,64.2,-1.2,3833,183,20.2,4.5,214,8.6,-31,0.85,99,2.8,132,3.7
West Virginia,12/1/2022,1435,784,54.7,-0.3,752,32,-24.3,4.1,66,34.7,-34,0.48,24,3.3,36,5.0
Wisconsin,12/1/2022,4754,3069,64.6,-1.3,2977,92,-0.6,3.0,243,51.9,-151,0.38,68,2.3,106,3.6
Wyoming,12/1/2022,460,294,63.8,-1.9,282,11,-18.1,3.9,22,22.2,-11,0.52,10,3.5,16,5.6
Alabama,11/1/2022,4026,2283,56.7,-0.6,2223,60,-18.9,2.6,156,57.6,-96,0.39,76,3.6,116,5.5
Alaska,11/1/2022,548,356,65.1,0.3,343,13,-30.5,3.7,30,30.4,-17,0.44,14,4.4,20,6.2
Arizona,11/1/2022,5902,3641,61.7,-0.3,3494,147,-12.7,4.0,231,51.0,-84,0.64,109,3.5,141,4.5
Arkansas,11/1/2022,2389,1372,57.4,-0.4,1325,48,-0.8,3.5,103,60.9,-55,0.46,42,3.2,61,4.6
California,11/1/2022,31111,19282,62.0,-1.0,18484,798,-7.3,4.1,1212,50.0,-414,0.66,372,2.1,634,3.6
Colorado,11/1/2022,4700,3197,68.0,-0.7,3107,90,-9.0,2.8,231,83.3,-141,0.39,70,2.4,126,4.3
Connecticut,11/1/2022,2952,1914,64.8,-1.6,1837,77,2.4,4.0,96,43.3,-19,0.80,29,1.7,50,3.0
Delaware,11/1/2022,827,495,59.9,-1.0,472,23,31.7,4.7,38,72.7,-15,0.61,16,3.5,25,5.4
District of Columbia,11/1/2022,551,388,70.3,-0.8,371,16,-27.8,4.2,48,60.0,-32,0.34,18,2.3,27,3.5
Florida,11/1/2022,18295,10840,59.3,-0.2,10546,294,-4.6,2.7,562,30.1,-268,0.52,280,2.9,380,4.0
Georgia,11/1/2022,8565,5234,61.1,-1.8,5071,162,-13.8,3.1,396,67.1,-234,0.41,176,3.6,245,5.1
Hawaii,11/1/2022,1124,680,60.5,-0.7,655,25,67.7,3.7,38,26.7,-13,0.67,16,2.6,23,3.7
Idaho,11/1/2022,1521,955,62.8,-1.3,928,27,5.7,2.8,61,56.4,-34,0.44,25,3.0,38,4.6
Illinois,11/1/2022,10026,6463,64.5,0.2,6164,299,19.4,4.6,374,44.4,-75,0.80,139,2.3,241,4.0
Indiana,11/1/2022,5372,3410,63.5,-0.8,3302,108,-6.2,3.2,219,39.5,-111,0.49,93,2.9,142,4.4
Iowa,11/1/2022,2525,1721,68.2,-1.1,1668,53,16.9,3.1,106,37.7,-53,0.50,43,2.7,57,3.6
Kansas,11/1/2022,2272,1506,66.3,-0.8,1461,44,-10.2,2.9,97,42.6,-53,0.46,38,2.7,60,4.2
Kentucky,11/1/2022,3547,2039,57.5,-1.1,1959,80,-6.0,3.9,150,54.6,-70,0.54,63,3.2,96,4.9
Louisiana,11/1/2022,3556,2083,58.6,0.3,2008,74,-24.2,3.6,175,92.3,-101,0.43,68,3.5,108,5.6
Maine,11/1/2022,1157,671,58.0,-3.8,651,21,-6.9,3.1,43,38.7,-22,0.48,16,2.5,22,3.4
Maryland,11/1/2022,4892,3165,64.7,-4.5,3066,99,-15.5,3.1,188,14.6,-89,0.53,71,2.6,111,4.1
Massachusetts,11/1/2022,5757,3728,64.8,-1.3,3588,140,30.9,3.7,264,60.0,-124,0.53,69,1.9,142,3.8
Michigan,11/1/2022,8089,4833,59.7,-1.6,4622,210,12.3,4.4,280,30.2,-70,0.75,111,2.5,171,3.9
Minnesota,11/1/2022,4528,3086,68.1,-1.8,2994,91,-16.9,3.0,206,50.4,-115,0.44,74,2.5,104,3.5
Mississippi,11/1/2022,2282,1242,54.4,-1.5,1191,50,-31.6,4.1,85,63.5,-35,0.59,44,3.8,51,4.4
Missouri,11/1/2022,4894,3068,62.7,-1.3,2985,83,-20.3,2.7,196,59.3,-113,0.42,77,2.6,103,3.5
Montana,11/1/2022,908,570,62.8,-0.9,554,15,-21.8,2.7,42,50.0,-27,0.36,17,3.4,28,5.5
Nebraska,11/1/2022,1524,1060,69.6,-0.6,1032,28,-10.6,2.7,64,28.0,-36,0.44,27,2.6,40,3.8
Nevada,11/1/2022,2548,1568,61.5,-2.7,1481,87,26.8,5.5,106,45.2,-19,0.82,46,3.1,76,5.2
New Hampshire,11/1/2022,1164,769,66.1,-2.4,747,22,10.3,2.9,53,55.9,-31,0.42,17,2.5,26,3.8
New Jersey,11/1/2022,7430,4765,64.1,-0.2,4606,159,-17.5,3.3,246,24.9,-87,0.64,82,1.9,139,3.3
New Mexico,11/1/2022,1680,944,56.2,-1.8,911,33,-34.7,3.5,71,47.9,-38,0.47,23,2.7,39,4.6
New York,11/1/2022,15943,9619,60.3,-0.6,9220,398,-2.0,4.1,509,18.9,-111,0.78,163,1.7,262,2.7
North Carolina,11/1/2022,8523,5161,60.5,-0.7,4961,200,4.8,3.9,365,56.7,-165,0.55,156,3.2,229,4.7
North Dakota,11/1/2022,600,414,69.1,-0.1,405,9,-1.7,2.1,25,4.2,-16,0.36,12,2.8,16,3.7
Ohio,11/1/2022,9350,5718,61.2,-2.4,5481,237,-12.3,4.1,356,39.1,-119,0.67,144,2.6,226,4.1
Oklahoma,11/1/2022,3108,1890,60.8,0.2,1830,60,3.6,3.2,124,51.2,-64,0.48,55,3.3,75,4.4
Oregon,11/1/2022,3469,2184,63.0,1.9,2079,105,40.8,4.8,143,32.4,-38,0.74,55,2.8,86,4.3
Pennsylvania,11/1/2022,10495,6480,61.7,-1.2,6198,282,-8.6,4.4,393,39.4,-111,0.72,117,1.9,188,3.1
Rhode Island,11/1/2022,900,567,62.9,-1.3,548,19,-11.3,3.3,35,45.8,-16,0.53,13,2.6,19,3.8
South Carolina,11/1/2022,4239,2371,55.9,-1.6,2294,77,13.5,3.3,169,55.0,-92,0.46,69,3.1,96,4.3
South Dakota,11/1/2022,702,475,67.7,-1.2,465,10,-11.3,2.2,29,26.1,-19,0.36,13,2.9,19,4.2
Tennessee,11/1/2022,5629,3321,59.0,-2.3,3204,116,0.1,3.5,244,76.8,-128,0.48,125,3.8,164,5.0
Texas,11/1/2022,23150,14708,63.5,-0.3,14143,565,12.9,3.8,933,77.4,-368,0.61,411,3.0,554,4.1
Utah,11/1/2022,2557,1754,68.6,0.4,1711,43,5.7,2.4,107,44.6,-64,0.40,48,2.9,69,4.1
Vermont,11/1/2022,543,344,63.3,-2.5,333,11,35.1,3.1,23,35.3,-12,0.46,7,2.3,11,3.6
Virginia,11/1/2022,6859,4466,65.1,-0.6,4325,141,8.0,3.2,356,62.6,-215,0.40,122,3.0,164,4.0
Washington,11/1/2022,6249,4016,64.3,-1.1,3833,184,20.9,4.6,230,16.8,-46,0.80,77,2.2,135,3.8
West Virginia,11/1/2022,1435,784,54.6,-0.3,752,32,-23.9,4.1,61,24.5,-29,0.52,23,3.2,34,4.8
Wisconsin,11/1/2022,4752,3068,64.6,-1.3,2976,92,-0.2,3.0,226,41.3,-134,0.41,68,2.3,108,3.7
Wyoming,11/1/2022,460,294,63.9,-1.8,282,11,-17.6,3.9,23,27.8,-12,0.50,10,3.5,16,5.6
Alabama,10/1/2022,4023,2283,56.8,-0.5,2223,60,-18.5,2.6,144,45.5,-84,0.42,65,3.1,104,5.0
Alaska,10/1/2022,547,356,65.1,0.3,343,13,-29.9,3.8,48,108.7,-35,0.28,12,3.7,26,8.1
Arizona,10/1/2022,5893,3641,61.8,-0.2,3493,148,-12.1,4.1,223,45.8,-75,0.66,107,3.5,133,4.3
Arkansas,10/1/2022,2387,1372,57.5,-0.4,1324,48,-0.2,3.5,92,43.8,-44,0.52,45,3.4,51,3.9
California,10/1/2022,31110,19274,62.0,-1.1,18476,798,-7.2,4.1,1164,44.1,-366,0.69,376,2.1,555,3.1
Colorado,10/1/2022,4696,3196,68.1,-0.7,3105,91,-8.4,2.8,219,73.8,-128,0.41,70,2.4,136,4.7
Connecticut,10/1/2022,2951,1914,64.9,-1.6,1837,77,2.7,4.0,110,64.2,-33,0.70,36,2.2,55,3.3
Delaware,10/1/2022,826,495,60.0,-0.9,472,23,31.6,4.7,35,59.1,-12,0.66,15,3.2,25,5.4
District of Columbia,10/1/2022,551,388,70.4,-0.8,372,16,-28.3,4.2,47,56.7,-31,0.35,17,2.2,24,3.1
Florida,10/1/2022,18259,10840,59.4,-0.1,10543,297,-3.5,2.7,624,44.4,-327,0.48,260,2.7,409,4.3
Georgia,10/1/2022,8554,5233,61.2,-1.7,5070,163,-13.4,3.1,405,70.9,-242,0.40,186,3.8,257,5.3
Hawaii,10/1/2022,1124,680,60.5,-0.7,655,25,67.5,3.7,41,36.7,-16,0.62,17,2.8,30,4.9
Idaho,10/1/2022,1518,955,62.9,-1.1,928,27,6.6,2.8,63,61.5,-36,0.43,25,3.0,47,5.7
Illinois,10/1/2022,10028,6457,64.4,0.1,6157,300,19.8,4.6,440,69.9,-140,0.68,178,2.9,260,4.3
Indiana,10/1/2022,5369,3411,63.5,-0.8,3302,108,-5.7,3.2,204,29.9,-96,0.53,97,3.0,143,4.5
Iowa,10/1/2022,2524,1720,68.1,-1.1,1666,53,18.1,3.1,115,49.4,-62,0.46,45,2.8,55,3.5
Kansas,10/1/2022,2271,1505,66.3,-0.8,1461,44,-9.7,3.0,94,38.2,-50,0.47,44,3.1,50,3.6
Kentucky,10/1/2022,3546,2040,57.5,-1.0,1960,81,-5.3,4.0,159,63.9,-78,0.51,75,3.8,102,5.2
Louisiana,10/1/2022,3557,2081,58.5,0.3,2006,75,-23.7,3.6,143,57.1,-68,0.52,66,3.4,93,4.8
Maine,10/1/2022,1156,671,58.0,-3.8,650,21,-6.4,3.1,47,51.6,-26,0.44,14,2.2,29,4.5
Maryland,10/1/2022,4890,3168,64.8,-4.5,3065,103,-12.3,3.2,191,16.5,-88,0.54,74,2.7,104,3.8
Massachusetts,10/1/2022,5756,3730,64.8,-1.3,3589,141,32.5,3.8,280,69.7,-139,0.50,80,2.2,135,3.6
Michigan,10/1/2022,8088,4834,59.8,-1.5,4622,212,13.0,4.4,336,56.3,-124,0.63,112,2.6,165,3.8
Minnesota,10/1/2022,4526,3085,68.2,-1.8,2994,91,-17.1,3.0,212,54.7,-121,0.43,75,2.6,106,3.6
Mississippi,10/1/2022,2281,1242,54.4,-1.5,1191,50,-31.5,4.1,87,67.3,-37,0.58,42,3.6,50,4.3
Missouri,10/1/2022,4891,3068,62.7,-1.3,2985,83,-20.2,2.7,206,67.5,-123,0.40,88,3.0,107,3.7
Montana,10/1/2022,906,570,62.9,-0.8,555,15,-21.3,2.7,42,50.0,-27,0.36,17,3.4,29,5.7
Nebraska,10/1/2022,1523,1060,69.6,-0.5,1031,29,-10.1,2.7,69,38.0,-40,0.41,28,2.7,37,3.6
Nevada,10/1/2022,2545,1568,61.6,-2.7,1481,87,26.9,5.5,101,38.4,-14,0.86,47,3.2,76,5.2
New Hampshire,10/1/2022,1163,769,66.1,-2.3,747,22,10.9,2.9,55,61.8,-33,0.41,16,2.3,32,4.7
New Jersey,10/1/2022,7428,4765,64.1,-0.2,4606,159,-17.5,3.3,249,26.4,-90,0.64,86,2.0,147,3.5
New Mexico,10/1/2022,1679,943,56.2,-1.8,910,33,-34.3,3.5,65,35.4,-32,0.51,26,3.0,37,4.3
New York,10/1/2022,15948,9612,60.3,-0.6,9213,399,-1.9,4.2,514,20.1,-115,0.78,163,1.7,280,2.9
North Carolina,10/1/2022,8511,5163,60.7,-0.6,4960,203,6.2,3.9,356,52.8,-153,0.57,150,3.1,226,4.7
North Dakota,10/1/2022,600,414,69.0,-0.1,405,9,-1.9,2.1,31,29.2,-22,0.29,12,2.8,17,3.9
Ohio,10/1/2022,9348,5718,61.2,-2.4,5480,238,-12.0,4.2,384,50.0,-147,0.62,139,2.5,194,3.5
Oklahoma,10/1/2022,3105,1890,60.9,0.2,1829,61,4.6,3.2,122,48.8,-61,0.50,59,3.5,77,4.6
Oregon,10/1/2022,3468,2184,63.0,2.0,2079,106,41.1,4.8,123,13.9,-17,0.86,54,2.7,84,4.2
Pennsylvania,10/1/2022,10494,6479,61.7,-1.2,6196,282,-8.5,4.4,357,26.6,-75,0.79,125,2.1,180,3.0
Rhode Island,10/1/2022,900,567,63.0,-1.2,548,19,-8.7,3.4,34,41.7,-15,0.56,12,2.4,21,4.2
South Carolina,10/1/2022,4232,2371,56.0,-1.5,2293,78,14.4,3.3,166,52.3,-88,0.47,77,3.4,108,4.8
South Dakota,10/1/2022,701,475,67.8,-1.1,465,10,-10.7,2.2,32,39.1,-22,0.33,11,2.4,20,4.4
Tennessee,10/1/2022,5621,3322,59.1,-2.2,3206,116,0.0,3.5,252,82.6,-136,0.46,118,3.6,152,4.7
Texas,10/1/2022,23107,14709,63.7,-0.2,14141,568,13.6,3.9,1000,90.1,-432,0.57,355,2.6,561,4.1
Utah,10/1/2022,2552,1754,68.7,0.5,1711,43,5.9,2.4,112,51.4,-69,0.38,49,2.9,79,4.7
Vermont,10/1/2022,543,343,63.2,-2.6,333,11,35.4,3.1,24,41.2,-13,0.44,8,2.7,13,4.3
Virginia,10/1/2022,6854,4458,65.0,-0.6,4318,140,7.1,3.1,351,60.3,-211,0.40,106,2.6,173,4.2
Washington,10/1/2022,6244,4015,64.3,-1.1,3832,183,20.6,4.6,220,11.7,-37,0.83,83,2.3,139,3.9
West Virginia,10/1/2022,1435,784,54.6,-0.3,752,32,-23.3,4.1,54,10.2,-22,0.60,22,3.1,32,4.5
Wisconsin,10/1/2022,4750,3069,64.6,-1.3,2975,93,1.0,3.0,219,36.9,-126,0.43,69,2.3,114,3.9
Wyoming,10/1/2022,459,294,63.9,-1.8,282,11,-17.3,3.9,26,44.4,-15,0.44,7,2.4,18,6.3
Alabama,9/1/2022,4020,2284,56.8,-0.5,2224,60,-18.5,2.6,139,40.4,-79,0.44,78,3.7,96,4.5
Alaska,9/1/2022,547,356,65.0,0.3,343,13,-30.6,3.7,40,73.9,-27,0.33,18,5.6,24,7.5
Arizona,9/1/2022,5883,3637,61.8,-0.1,3490,147,-12.4,4.0,241,57.5,-94,0.61,105,3.4,154,5.0
Arkansas,9/1/2022,2384,1371,57.5,-0.4,1323,48,-1.0,3.5,96,50.0,-48,0.50,42,3.1,63,4.7
California,9/1/2022,31106,19241,61.9,-1.2,18471,770,-10.6,4.0,1161,43.7,-391,0.66,419,2.4,683,3.8
Colorado,9/1/2022,4692,3193,68.1,-0.7,3105,88,-10.8,2.8,201,59.5,-113,0.44,70,2.4,125,4.4
Connecticut,9/1/2022,2950,1916,65.0,-1.5,1840,76,1.6,4.0,116,73.1,-40,0.65,37,2.2,58,3.5
Delaware,9/1/2022,824,496,60.1,-0.8,473,23,29.3,4.6,34,54.5,-11,0.67,16,3.4,25,5.3
District of Columbia,9/1/2022,551,389,70.7,-0.5,373,16,-30.0,4.1,38,26.7,-22,0.42,17,2.2,24,3.1
Florida,9/1/2022,18220,10827,59.4,0.0,10533,294,-4.5,2.7,618,43.1,-324,0.48,287,3.0,399,4.2
Georgia,9/1/2022,8542,5232,61.3,-1.7,5070,163,-13.5,3.1,382,61.2,-219,0.43,179,3.7,272,5.6
Hawaii,9/1/2022,1124,680,60.5,-0.7,655,25,64.8,3.7,39,30.0,-14,0.64,16,2.6,25,4.0
Idaho,9/1/2022,1514,955,63.0,-1.0,928,27,6.7,2.8,59,51.3,-32,0.45,29,3.5,46,5.5
Illinois,9/1/2022,10030,6455,64.4,0.1,6159,296,18.4,4.6,412,59.1,-116,0.72,130,2.1,266,4.4
Indiana,9/1/2022,5365,3413,63.6,-0.7,3305,108,-5.9,3.2,192,22.3,-84,0.56,89,2.8,145,4.5
Iowa,9/1/2022,2522,1719,68.1,-1.1,1666,53,16.5,3.1,105,36.4,-52,0.50,43,2.7,62,3.9
Kansas,9/1/2022,2270,1505,66.3,-0.8,1462,44,-11.2,2.9,98,44.1,-54,0.45,35,2.5,56,3.9
Kentucky,9/1/2022,3544,2044,57.7,-0.9,1962,81,-4.7,4.0,155,59.8,-74,0.52,67,3.4,106,5.4
Louisiana,9/1/2022,3557,2080,58.5,0.2,2006,74,-24.8,3.6,132,45.1,-58,0.56,63,3.3,103,5.3
Maine,9/1/2022,1155,671,58.1,-3.7,651,20,-10.7,3.0,43,38.7,-23,0.46,16,2.5,26,4.1
Maryland,9/1/2022,4889,3166,64.8,-4.5,3064,102,-13.2,3.2,181,10.4,-79,0.56,74,2.7,108,4.0
Massachusetts,9/1/2022,5754,3730,64.8,-1.3,3593,137,28.4,3.7,261,58.2,-124,0.52,85,2.3,114,3.1
Michigan,9/1/2022,8085,4836,59.8,-1.5,4626,210,12.2,4.3,261,21.4,-51,0.81,91,2.1,173,3.9
Minnesota,9/1/2022,4524,3086,68.2,-1.7,2997,88,-19.8,2.9,205,49.6,-117,0.43,74,2.5,111,3.8
Mississippi,9/1/2022,2281,1244,54.5,-1.4,1194,50,-32.3,4.0,82,57.7,-32,0.61,45,3.9,58,5.0
Missouri,9/1/2022,4888,3064,62.7,-1.3,2985,80,-23.5,2.6,187,52.0,-107,0.43,74,2.5,130,4.4
Montana,9/1/2022,904,570,63.0,-0.7,554,15,-20.3,2.7,39,39.3,-24,0.39,21,4.1,31,6.0
Nebraska,9/1/2022,1522,1060,69.6,-0.5,1032,28,-11.7,2.6,66,32.0,-38,0.43,25,2.4,39,3.8
Nevada,9/1/2022,2541,1568,61.7,-2.6,1482,86,25.5,5.5,99,35.6,-13,0.87,45,3.0,76,5.1
New Hampshire,9/1/2022,1162,769,66.2,-2.3,748,22,8.2,2.8,45,32.4,-23,0.48,18,2.6,27,3.9
New Jersey,9/1/2022,7425,4764,64.2,-0.2,4611,153,-20.7,3.2,251,27.4,-98,0.61,113,2.6,139,3.3
New Mexico,9/1/2022,1678,942,56.2,-1.9,910,33,-35.2,3.5,64,33.3,-31,0.51,25,2.9,42,4.9
New York,9/1/2022,15952,9606,60.2,-0.7,9218,388,-4.6,4.0,513,19.9,-125,0.76,174,1.8,295,3.1
North Carolina,9/1/2022,8498,5166,60.8,-0.5,4963,203,6.3,3.9,341,46.4,-138,0.59,143,3.0,227,4.7
North Dakota,9/1/2022,599,414,69.0,-0.1,405,9,-4.0,2.1,28,16.7,-19,0.31,11,2.6,20,4.7
Ohio,9/1/2022,9345,5725,61.3,-2.3,5489,236,-12.6,4.1,361,41.0,-125,0.65,155,2.8,232,4.2
Oklahoma,9/1/2022,3102,1889,60.9,0.3,1828,61,4.6,3.2,124,51.2,-63,0.49,58,3.4,87,5.1
Oregon,9/1/2022,3467,2181,62.9,1.9,2080,101,35.4,4.6,131,21.3,-30,0.77,58,3.0,114,5.8
Pennsylvania,9/1/2022,10492,6476,61.7,-1.2,6195,281,-8.9,4.3,385,36.5,-104,0.73,156,2.6,221,3.7
Rhode Island,9/1/2022,900,569,63.2,-1.0,550,19,-8.3,3.4,36,50.0,-17,0.54,13,2.6,22,4.4
South Carolina,9/1/2022,4223,2372,56.2,-1.4,2294,78,14.9,3.3,163,49.5,-85,0.48,72,3.2,104,4.6
South Dakota,9/1/2022,699,475,67.9,-1.0,465,10,-10.9,2.2,30,30.4,-20,0.35,11,2.4,21,4.6
Tennessee,9/1/2022,5613,3330,59.3,-2.0,3216,114,-1.5,3.4,231,67.4,-117,0.49,114,3.5,164,5.0
Texas,9/1/2022,23063,14696,63.7,-0.1,14135,561,12.2,3.8,890,69.2,-329,0.63,468,3.4,628,4.6
Utah,9/1/2022,2548,1752,68.8,0.6,1710,42,4.8,2.4,114,54.1,-72,0.37,57,3.4,79,4.7
Vermont,9/1/2022,542,343,63.2,-2.6,333,10,30.2,3.0,20,17.6,-10,0.51,9,3.0,13,4.3
Virginia,9/1/2022,6850,4445,64.9,-0.8,4313,132,1.4,3.0,309,41.1,-177,0.43,105,2.6,160,3.9
Washington,9/1/2022,6238,4008,64.2,-1.1,3830,178,17.0,4.4,207,5.1,-29,0.86,79,2.2,125,3.5
West Virginia,9/1/2022,1435,784,54.7,-0.3,752,32,-22.9,4.1,55,12.2,-23,0.59,24,3.5,33,4.8
Wisconsin,9/1/2022,4747,3072,64.7,-1.2,2977,95,2.3,3.1,199,24.4,-104,0.48,77,2.6,115,3.9
Wyoming,9/1/2022,459,293,63.9,-1.7,282,11,-19.0,3.8,22,22.2,-11,0.51,12,4.2,15,5.3
Alabama,8/1/2022,4017,2287,56.9,-0.4,2226,60,-18.8,2.6,157,58.6,-97,0.38,66,3.2,99,4.7
Alaska,8/1/2022,547,356,65.0,0.3,343,13,-32.6,3.6,27,17.4,-14,0.48,14,4.5,17,5.4
Arizona,8/1/2022,5874,3632,61.8,-0.1,3487,145,-13.8,4.0,233,52.3,-88,0.62,107,3.5,147,4.8
Arkansas,8/1/2022,2382,1371,57.6,-0.3,1324,47,-2.6,3.4,93,45.3,-46,0.50,37,2.8,59,4.5
California,8/1/2022,31103,19212,61.8,-1.3,18489,724,-15.9,3.8,1269,57.1,-545,0.57,394,2.2,604,3.4
Colorado,8/1/2022,4687,3191,68.1,-0.7,3107,83,-15.7,2.6,231,83.3,-148,0.36,83,2.9,120,4.2
Connecticut,8/1/2022,2948,1920,65.1,-1.3,1846,74,-0.7,3.9,115,71.6,-41,0.65,40,2.4,81,4.9
Delaware,8/1/2022,823,496,60.2,-0.7,474,22,25.9,4.5,33,50.0,-11,0.67,14,3.0,21,4.5
District of Columbia,8/1/2022,550,391,71.1,-0.1,376,15,-32.1,3.9,45,50.0,-30,0.34,14,1.8,22,2.9
Florida,8/1/2022,18181,10815,59.5,0.0,10521,294,-4.7,2.7,635,47.0,-341,0.46,267,2.8,376,4.0
Georgia,8/1/2022,8530,5235,61.4,-1.5,5074,161,-14.4,3.1,432,82.3,-271,0.37,194,4.0,263,5.5
Hawaii,8/1/2022,1123,680,60.5,-0.7,656,24,61.2,3.6,50,66.7,-26,0.49,14,2.3,28,4.6
Idaho,8/1/2022,1511,954,63.1,-0.9,928,26,5.4,2.8,64,64.1,-38,0.41,25,3.0,39,4.7
Illinois,8/1/2022,10031,6457,64.4,0.1,6168,290,15.6,4.5,461,78.0,-171,0.63,135,2.2,248,4.1
Indiana,8/1/2022,5361,3416,63.7,-0.6,3309,107,-7.1,3.1,238,51.6,-131,0.45,88,2.8,126,4.0
Iowa,8/1/2022,2521,1719,68.2,-1.0,1668,51,12.1,2.9,114,48.1,-63,0.44,41,2.6,69,4.4
Kansas,8/1/2022,2269,1505,66.4,-0.7,1463,42,-14.1,2.8,98,44.1,-56,0.43,38,2.7,55,3.9
Kentucky,8/1/2022,3542,2048,57.8,-0.8,1966,81,-4.5,4.0,171,76.3,-90,0.48,63,3.2,102,5.3
Louisiana,8/1/2022,3558,2080,58.5,0.2,2007,73,-25.2,3.5,155,70.3,-82,0.47,66,3.4,94,4.9
Maine,8/1/2022,1154,672,58.2,-3.6,653,18,-18.0,2.7,47,51.6,-29,0.39,19,3.0,27,4.2
Maryland,8/1/2022,4887,3174,64.9,-4.3,3067,107,-9.2,3.4,205,25.0,-98,0.52,65,2.4,109,4.0
Massachusetts,8/1/2022,5752,3745,65.1,-1.0,3599,145,36.1,3.9,302,83.0,-157,0.48,98,2.7,135,3.7
Michigan,8/1/2022,8083,4840,59.9,-1.4,4634,206,10.0,4.3,328,52.6,-122,0.63,105,2.4,178,4.1
