State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
South Carolina,7/1/2021,4125,2358,57.2,-0.4,2265,94,37.0,4.0,147,34.9,-53,0.64,68,3.2,106,5.0
South Dakota,7/1/2021,684,471,68.8,-0.1,458,13,9.8,2.7,29,26.1,-16,0.44,13,3.0,21,4.8
Tennessee,7/1/2021,5524,3328,60.3,-1.1,3181,147,26.7,4.4,212,53.6,-65,0.69,94,3.0,135,4.3
Texas,7/1/2021,22541,14339,63.6,-0.2,13542,797,59.5,5.6,891,69.4,-94,0.89,400,3.2,564,4.5
Utah,7/1/2021,2490,1690,67.9,-0.3,1645,45,12.2,2.7,108,45.9,-63,0.42,47,2.9,73,4.5
Vermont,7/1/2021,541,336,62.2,-3.7,324,12,51.6,3.5,23,35.3,-11,0.51,7,2.4,13,4.4
Virginia,7/1/2021,6806,4329,63.6,-2.1,4167,162,24.2,3.7,268,22.4,-106,0.60,109,2.8,168,4.3
Washington,7/1/2021,6164,3903,63.3,-2.0,3702,200,32.0,5.1,195,-1.0,5,1.03,81,2.4,135,4.0
West Virginia,7/1/2021,1443,780,54.1,-0.9,740,40,-5.1,5.1,55,12.2,-15,0.73,23,3.4,32,4.7
Wisconsin,7/1/2021,4716,3106,65.9,0.0,2987,119,29.2,3.8,200,25.0,-81,0.60,77,2.7,107,3.7
Wyoming,7/1/2021,454,289,63.6,-2.1,276,13,-5.6,4.5,20,11.1,-7,0.65,9,3.2,15,5.4
Alabama,6/1/2021,3989,2257,56.6,-0.7,2179,78,5.3,3.5,135,36.4,-57,0.58,65,3.2,97,4.8
Alaska,6/1/2021,546,354,64.8,0.1,330,24,25.4,6.8,22,-4.3,2,1.09,13,4.3,17,5.6
Arizona,6/1/2021,5750,3536,61.5,-0.4,3351,186,10.5,5.2,217,41.8,-31,0.86,89,3.0,115,3.9
Arkansas,6/1/2021,2361,1339,56.7,-1.1,1283,56,16.3,4.2,79,23.4,-23,0.71,41,3.2,57,4.5
California,6/1/2021,31074,19054,61.3,-1.7,17571,1483,72.2,7.8,928,14.9,555,1.60,379,2.3,641,3.9
Colorado,6/1/2021,4633,3167,68.3,-0.4,2982,184,86.2,5.8,202,60.3,-18,0.91,81,3.0,121,4.4
Connecticut,6/1/2021,2938,1835,62.5,-4.0,1713,122,63.3,6.7,100,49.3,22,1.22,27,1.7,59,3.7
Delaware,6/1/2021,808,496,61.4,0.5,467,29,63.5,5.8,31,40.9,-2,0.93,14,3.1,21,4.7
District of Columbia,6/1/2021,546,380,69.5,-1.7,352,27,20.6,7.2,42,40.0,-15,0.65,13,1.8,21,2.9
Florida,6/1/2021,17751,10366,58.4,-1.1,9866,500,62.2,4.8,545,26.2,-45,0.92,260,2.9,415,4.7
Georgia,6/1/2021,8391,5185,61.8,-1.1,4979,206,9.7,4.0,365,54.0,-159,0.56,172,3.8,264,5.8
Hawaii,6/1/2021,1125,675,60.0,-1.2,633,43,182.4,6.3,38,26.7,5,1.12,14,2.4,27,4.6
